City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
314,Aykhal,66.0,111.5,67.05,73,100,7.58,RU,light rain
315,Katsuura,35.1333,140.3,81.18,80,97,12.88,JP,overcast clouds
316,Winnemucca,40.973,-117.7357,77.05,14,100,12.66,US,haze
317,Hofn,64.2539,-15.2082,52.23,72,100,13.98,IS,overcast clouds
318,Santa Isabel,-23.3156,-46.2214,60.1,75,0,2.51,BR,clear sky
319,Shimoda,34.6667,138.95,83.1,77,99,10.85,JP,overcast clouds
320,Abu Samrah,35.3029,37.1841,75.42,58,0,7.72,SY,clear sky
321,Fukue,32.6881,128.8419,77.88,90,100,19.08,JP,overcast clouds
322,Pitimbu,-7.4706,-34.8086,73.99,79,61,17.27,BR,broken clouds
323,Santa Vitoria Do Palmar,-33.5189,-53.3681,44.28,87,17,5.01,BR,few clouds
324,Walvis Bay,-22.9575,14.5053,58.33,79,0,7.07,NA,clear sky
325,Choa Saidan Shah,32.7201,72.9849,90.16,52,16,10.29,PK,few clouds
326,Sur,22.5667,59.5289,90.75,61,86,3.15,OM,overcast clouds
327,Bowen,-20.0167,148.2333,66.33,89,100,8.12,AU,overcast clouds
328,Taoudenni,22.6783,-3.9836,92.52,21,0,9.95,ML,clear sky
329,Valparaiso,-33.0393,-71.6273,51.48,72,31,8.63,CL,scattered clouds
330,Yakeshi,49.2833,120.7333,93.76,24,43,5.14,CN,scattered clouds
331,Barao De Melgaco,-16.1944,-55.9675,71.58,48,27,2.8,BR,scattered clouds
332,Ornes,66.8689,13.7078,55.78,89,97,4.36,NO,overcast clouds
333,Darhan,49.4867,105.9228,66.15,78,100,12.86,MN,overcast clouds
334,Kedougou,12.5579,-12.1743,73.31,96,100,4.07,SN,light rain
335,Witham,51.8001,0.6404,57.09,87,48,7.65,GB,scattered clouds
336,Komsomolskiy,40.4272,71.7189,84.92,26,0,4.61,UZ,clear sky
337,Neuquen,-38.9516,-68.0591,46.08,45,17,19.42,AR,few clouds
338,Severo-Kurilsk,50.6789,156.125,52.81,86,54,13.0,RU,broken clouds
339,Carutapera,-1.195,-46.02,75.13,92,32,6.6,BR,scattered clouds
340,Carlsbad,33.1581,-117.3506,68.81,84,75,7.0,US,broken clouds
341,Rodrigues Alves,-7.738,-72.6509,73.31,77,62,1.9,BR,broken clouds
342,Noshiro,40.2039,140.0242,79.52,69,65,8.12,JP,broken clouds
343,Newport,51.5877,-2.9984,56.61,90,100,4.79,GB,overcast clouds
344,Evensk,61.95,159.2333,59.5,64,94,12.15,RU,light rain
345,Nhulunbuy,-12.2333,136.7667,74.01,88,75,13.8,AU,broken clouds
346,Harper,4.375,-7.7169,74.93,82,100,7.94,LR,overcast clouds
