City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Puerto Cabello,VE,81.27,overcast clouds,10.4731,-68.0125,Las Palmeras
216,Ust-Tsilma,RU,54.66,broken clouds,65.441,52.1498,U Praskov'i
217,Sioux Lookout,CA,50.18,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
218,Yulara,AU,56.97,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
219,Port Blair,IN,84.42,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
220,Mecca,SA,87.17,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
221,Chapada Dos Guimaraes,BR,62.26,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
222,Codrington,AU,53.33,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
223,Ecublens,CH,63.86,clear sky,46.529,6.5626,ibis Lausanne Crissier
224,Airai,TL,66.47,overcast clouds,-8.9266,125.4092,
225,Namwala,ZM,57.33,overcast clouds,-15.7504,26.4384,Corner Point Lodge
226,Hagi,JP,81.95,overcast clouds,34.4,131.4167,Hagi Ichirin
227,Vigrestad,NO,57.96,scattered clouds,58.5667,5.7,Brusand Camping
228,Tongren,CN,79.92,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
229,Melfort,CA,53.92,scattered clouds,52.8667,-104.6177,Carra Valla Inn
230,Nioro,GM,77.59,overcast clouds,13.35,-15.75,
231,Angren,UZ,88.07,clear sky,41.0167,70.1436,Xusan Aka
232,Clyde River,CA,30.43,heavy snow,70.4692,-68.5914,Qamaq Hotel
233,Chuy,UY,43.3,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
234,Faanui,PF,79.07,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
235,Oktyabrskoye,RU,59.14,clear sky,43.0645,44.7417,Prolesok Mini-hotel
236,Deputatskiy,RU,56.41,light rain,69.3,139.9,Baza Otdykha
237,Mount Gambier,AU,53.35,overcast clouds,-37.8333,140.7667,The Commodore
238,Agua Verde,MX,82.49,clear sky,22.9,-106.05,
239,Beloha,MG,56.41,clear sky,-25.1667,45.05,
240,Manzhouli,CN,92.71,overcast clouds,49.6,117.4333,Angala International Youth Hostel
241,Hovd,MN,67.14,overcast clouds,48.0056,91.6419,Hotel Khovd
242,Dingle,PH,88.52,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
243,Nelson Bay,AU,64.99,light rain,-32.7167,152.15,Mantra Nelson Bay
244,Korla,CN,89.64,broken clouds,41.7597,86.1469,Gulisitan Hotel
245,Yaan,NG,70.83,overcast clouds,7.3833,8.5667,
246,Vaitape,PF,79.07,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
247,Liberal,US,75.34,broken clouds,37.0431,-100.921,Hampton Inn & Suites Liberal
248,Udachnyy,RU,74.71,light rain,66.4167,112.4,Severnoye Siyaniye
249,Port Lincoln,AU,53.73,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
250,Tupik,RU,82.67,clear sky,54.4253,119.9327,Guest House Orkhideya
251,Qianan,CN,88.48,clear sky,44.9932,124.0581,Qian'an Hotel
252,Zheleznodorozhnyy,RU,68.61,broken clouds,55.7503,38.0042,Hotel Dali
253,Lamar,US,78.78,clear sky,33.6668,-95.5836,Kings Inn Paris TX
254,Vardo,NO,69.78,clear sky,70.3705,31.1107,Vardø Hotel AS
255,Merauke,ID,82.04,overcast clouds,-8.4667,140.3333,
256,Sao Raimundo Nonato,BR,75.16,overcast clouds,-9.0153,-42.6994,Real Hotel
257,Alabaster,US,78.71,few clouds,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
258,Capoterra,IT,75.52,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
259,Zhigansk,RU,73.2,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
260,Myronivka,UA,62.11,broken clouds,49.6601,30.9823,Petryky Dim Myronivka
261,Leningradskiy,RU,39.45,overcast clouds,69.3833,178.4167,Gostinitsa
262,Yeppoon,AU,55.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
263,Buckeye,US,102.18,clear sky,33.3703,-112.5838,Buckeye Motor Hotel
264,Tura,IN,84.65,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
265,Houma,US,80.01,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
267,Geraldton,AU,64.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
268,Bageshwar,IN,82.94,broken clouds,29.85,79.7667,Dangwal house
269,Mantua,IT,78.04,clear sky,45.1667,10.7833,Hotel la Favorita
270,Aripuana,BR,74.66,broken clouds,-9.1667,-60.6333,
271,Namatanai,PG,84.83,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
272,Ratnagiri,IN,81.91,overcast clouds,16.9833,73.3,Hotel Landmark
273,Saldanha,ZA,56.5,light rain,-33.0117,17.9442,Blue Bay Lodge
